cat	pval	fdr	stars
Redox-dependent regulation of nucleus processes	NA	NA	NA
Cold shock, CspA family of proteins	NA	NA	NA
Heat shock dnaK gene cluster extended	0.668169663713535	1	
Uptake of selenate and selenite	NA	NA	NA
SigmaB stress responce regulation	NA	NA	NA
Hfl operon	NA	NA	NA
Carbon Starvation	NA	NA	NA
Periplasmic Stress Response	NA	NA	NA
Quinate degradation	NA	NA	NA
Salicylate and gentisate catabolism	NA	NA	NA
Gentisate degradation	NA	NA	NA
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	0.247742360195361	1	
Glutamate dehydrogenases	NA	NA	NA
Glutamine synthetases	1	1	
Glutamate and Aspartate uptake in Bacteria	NA	NA	NA
Histidine Degradation	NA	NA	NA
Histidine Biosynthesis	NA	NA	NA
Arginine Deiminase Pathway	NA	NA	NA
Polyamine Metabolism	NA	NA	NA
Arginine and Ornithine Degradation	NA	NA	NA
Arginine Biosynthesis extended	NA	NA	NA
Arginine Biosynthesis -- gjo	NA	NA	NA
Methionine Biosynthesis	1	1	
Threonine degradation	NA	NA	NA
Lysine Biosynthesis DAP Pathway, GJO scratch	0.785393208691118	1	
Methionine Degradation	NA	NA	NA
Threonine and Homoserine Biosynthesis	0.731214839876578	1	
Cysteine Biosynthesis	NA	NA	NA
Lysine Biosynthesis DAP Pathway	0.785393208691118	1	
Lysine degradation	NA	NA	NA
Creatine and Creatinine Degradation	NA	NA	NA
Branched-Chain Amino Acid Biosynthesis	NA	NA	NA
Leucine Biosynthesis	NA	NA	NA
Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)	NA	NA	NA
Aromatic amino acid interconversions with aryl acids	NA	NA	NA
Indole-pyruvate oxidoreductase complex	NA	NA	NA
Chorismate Synthesis	NA	NA	NA
Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	0.000275049222582076	0.0297053160388642	 *
Phenylalanine and Tyrosine Branches from Chorismate	0.132664555318206	1	
Tryptophan synthesis	NA	NA	NA
Proline Synthesis	0.844957139266883	1	
A Hypothetical Protein Related to Proline Metabolism	1	1	
Glycine Biosynthesis	NA	NA	NA
Alanine biosynthesis	1	1	
Serine Biosynthesis	0.252898841843159	1	
Glycine and Serine Utilization	NA	NA	NA
Thioredoxin-disulfide reductase	1	1	
Galactosylceramide and Sulfatide metabolism	NA	NA	NA
High affinity phosphate transporter and control of PHO regulon	0.646587403632175	1	
Phosphate metabolism	NA	NA	NA
Polyphosphate	NA	NA	NA
Phosphonate metabolism	NA	NA	NA
Methylglyoxal Metabolism	NA	NA	NA
Pyruvate:ferredoxin oxidoreductase	NA	NA	NA
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	0.0345195147480425	1	
Pyruvate Alanine Serine Interconversions	0.712933075429191	1	
Glycolysis and Gluconeogenesis	NA	NA	NA
Entner-Doudoroff Pathway	NA	NA	NA
Pentose phosphate pathway	NA	NA	NA
Pyruvate metabolism I: anaplerotic reactions, PEP	0.546436845441596	1	
Glycolate, glyoxylate interconversions	NA	NA	NA
Chitin and N-acetylglucosamine utilization	NA	NA	NA
N-Acetyl-Galactosamine and Galactosamine Utilization	NA	NA	NA
Trehalose Biosynthesis	NA	NA	NA
Sucrose utilization	NA	NA	NA
Fructooligosaccharides(FOS) and Raffinose Utilization	NA	NA	NA
Maltose and Maltodextrin Utilization	NA	NA	NA
Trehalose Uptake and Utilization	NA	NA	NA
Lactose and Galactose Uptake and Utilization	NA	NA	NA
Lactose utilization	NA	NA	NA
One-carbon metabolism by tetrahydropterines	0.597018301836008	1	
Methanogenesis	NA	NA	NA
Glycerate metabolism	NA	NA	NA
Citrate Metabolism, Transport, and Regulation	NA	NA	NA
Fermentations: Mixed acid	NA	NA	NA
Acetolactate synthase subunits	NA	NA	NA
Fermentations: Lactate	NA	NA	NA
Glycerol and Glycerol-3-phosphate Uptake and Utilization	NA	NA	NA
Inositol catabolism	NA	NA	NA
Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway	NA	NA	NA
Glycogen metabolism	NA	NA	NA
Alpha-Amylase locus in Streptocococcus	NA	NA	NA
Mannose Metabolism	NA	NA	NA
Deoxyribose and Deoxynucleoside Catabolism	NA	NA	NA
Fructose utilization	NA	NA	NA
D-galactarate, D-glucarate and D-glycerate catabolism - gjo	NA	NA	NA
D-Galacturonate and D-Glucuronate Utilization	NA	NA	NA
D-ribose utilization	NA	NA	NA
L-fucose utilization temp	NA	NA	NA
Xylose utilization	NA	NA	NA
D-galactarate, D-glucarate and D-glycerate catabolism	NA	NA	NA
L-Arabinose utilization	NA	NA	NA
