cat	pval	fdr	stars
Queuosine-Archaeosine Biosynthesis	0.241135374497417	1	
Ribonuclease H	0.831999068190003	1	
tRNA processing	0.735110462909163	1	
Transcription initiation, bacterial sigma factors	0.17012053819356	1	
RNA polymerase bacterial	0.523224316036074	1	
Transcription factors bacterial	0.747189140261728	1	
Rrf2 family transcriptional regulators	NA	NA	NA
Group II intron-associated genes	NA	NA	NA
De Novo Pyrimidine Synthesis	0.842655156254972	1	
De Novo Purine Biosynthesis	1	1	
Xanthine dehydrogenase subunits	NA	NA	NA
Xanthine Metabolism in Bacteria	NA	NA	NA
Purine Utilization	NA	NA	NA
Purine conversions	0.26405056143045	1	
Ribonucleotide reduction	0.254049181920676	1	
Hydantoin metabolism	NA	NA	NA
Adenosyl nucleosidases	NA	NA	NA
Nudix proteins (nucleoside triphosphate hydrolases)	0.743298134812807	1	
Housecleaning nucleoside triphosphate pyrophosphatases	0.711480496227477	1	
GroEL GroES	0.689721480209661	1	
Protein chaperones	0.396012474574129	1	
tRNA aminoacylation, Val	1	1	
tRNA aminoacylation, Met	1	1	
tRNA aminoacylation, Ile	1	1	
tRNA aminoacylation, Arg	1	1	
Translation initiation factors bacterial	NA	NA	NA
Ribosome SSU bacterial	NA	NA	NA
tRNA aminoacylation, Gly	1	1	
tRNA aminoacylation, Ala	0.326248989115318	1	
Ribosome activity modulation	NA	NA	NA
tRNA aminoacylation, Trp	1	1	
Ribosome biogenesis bacterial	0.851067263015696	1	
Ribosome LSU bacterial	NA	NA	NA
Programmed frameshift	0.812240154752668	1	
tRNA aminoacylation, Cys	1	1	
Translation termination factors bacterial	0.835796094927649	1	
Universal GTPases	0.689226448755182	1	
tRNA aminoacylation, His	1	1	
tRNA aminoacylation, Asp and Asn	0.382831328714853	1	
Translation elongation factors bacterial	0.894606296945268	1	
tRNAs	0.248741161928406	1	
tRNA aminoacylation, Lys	1	1	
tRNA aminoacylation, Thr	1	1	
tRNA aminoacylation, Pro	1	1	
Translation elongation factor G family	1	1	
tRNA aminoacylation, Glu and Gln	0.382831328714853	1	
tRNA aminoacylation, Ser	1	1	
tRNA aminoacylation, Tyr	1	1	
tRNA aminoacylation, Leu	1	1	
tRNA aminoacylation, Phe	0.831999068190003	1	
Lipoprotein Biosynthesis	0.536329908505335	1	
Signal peptidase	1	1	
Ribosomal protein S12p Asp methylthiotransferase	NA	NA	NA
G3E family of P-loop GTPases (metallocenter biosynthesis)	NA	NA	NA
Ribosomal protein S5p acylation	NA	NA	NA
N-linked Glycosylation in Bacteria	NA	NA	NA
Aminopeptidases (EC 3.4.11.-)	NA	NA	NA
Protein degradation	0.858421394501889	1	
Metallocarboxypeptidases (EC 3.4.17.-)	0.643502102488097	1	
Dipeptidases (EC 3.4.13.-)	NA	NA	NA
Proteolysis in bacteria, ATP-dependent	0.616642346306947	1	
Bacterial checkpoint-control-related cluster	NA	NA	NA
YgjD and YeaZ	1	1	
Macromolecular synthesis operon	0.709490930819337	1	
Bacterial Cytoskeleton	0.685443840870697	1	
Bacterial Chemotaxis	NA	NA	NA
cAMP signaling in bacteria	NA	NA	NA
LysR-family proteins in Salmonella enterica Typhimurium	NA	NA	NA
LysR-family proteins in Escherichia coli	NA	NA	NA
HPr catabolite repression system	NA	NA	NA
Orphan regulatory proteins	NA	NA	NA
Stringent Response, (p)ppGpp metabolism	NA	NA	NA
Cell envelope-associated LytR-CpsA-Psr transcriptional attenuators	NA	NA	NA
BarA-UvrY(SirA) two-component regulatory system	NA	NA	NA
Murein hydrolase regulation and cell death	NA	NA	NA
Toxin-antitoxin replicon stabilization systems	NA	NA	NA
Lanthionine Synthetases	NA	NA	NA
Auxin biosynthesis	NA	NA	NA
Uracil-DNA glycosylase	0.536329908505335	1	
DNA repair, bacterial MutL-MutS system	NA	NA	NA
DNA repair, UvrABC system	0.873220929221782	1	
DNA repair, bacterial DinG and relatives	NA	NA	NA
2-phosphoglycolate salvage	NA	NA	NA
RecA and RecX	NA	NA	NA
DNA repair system including RecA, MutS and a hypothetical protein	NA	NA	NA
ATP-dependent Nuclease	NA	NA	NA
DNA repair, bacterial	0.814884135467746	1	
DNA repair, bacterial RecFOR pathway	NA	NA	NA
DNA repair, bacterial RecBCD pathway	NA	NA	NA
Nonhomologous End-Joining in Bacteria	NA	NA	NA
DNA repair, bacterial UvrD and related helicases	1	1	
DNA Repair Base Excision	0.337251933711309	1	
CRISPRs	NA	NA	NA
DNA ligases	NA	NA	NA
YcfH	0.295651717023748	1	
DNA structural proteins, bacterial	0.321124559760641	1	
DNA topoisomerases, Type I, ATP-independent	0.821645888973955	1	
DNA-replication	NA	NA	NA
DNA topoisomerases, Type II, ATP-dependent	0.73293178122332	1	
RuvABC plus a hypothetical	NA	NA	NA
DNA processing cluster	0.871662124684779	1	
Cardiolipin synthesis	NA	NA	NA
Glycerolipid and Glycerophospholipid Metabolism in Bacteria	NA	NA	NA
Triacylglycerol metabolism	NA	NA	NA
Fatty Acid Biosynthesis FASII	NA	NA	NA
Isoprenoinds for Quinones	1	1	
Isoprenoid Biosynthesis	1	1	
Nonmevalonate Branch of Isoprenoid Biosynthesis	NA	NA	NA
Nitrosative stress	NA	NA	NA
Nitrate and nitrite ammonification	NA	NA	NA
Ammonia assimilation	NA	NA	NA
Dipicolinate Synthesis	NA	NA	NA
Small acid-soluble spore proteins	NA	NA	NA
Sporulation gene orphans	NA	NA	NA
Spore Core Dehydration	NA	NA	NA
Sporulation-associated proteins with broader functions	0.263661752031193	1	
SpoVS protein family	NA	NA	NA
Sporulation Cluster III A	NA	NA	NA
V-Type ATP synthase	NA	NA	NA
Anaerobic respiratory reductases	NA	NA	NA
Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	NA	NA	NA
Respiratory dehydrogenases 1	1	1	
NiFe hydrogenase maturation	NA	NA	NA
Carbon monoxide induced hydrogenase	NA	NA	NA
Formate hydrogenase	NA	NA	NA
Soluble cytochromes and functionally related electron carriers	NA	NA	NA
Na+ translocating decarboxylases and related biotin-dependent enzymes	NA	NA	NA
Choline and Betaine Uptake and Betaine Biosynthesis	NA	NA	NA
Oxidative stress	NA	NA	NA
Glutathione: Non-redox reactions	NA	NA	NA
Rubrerythrin	NA	NA	NA
Redox-dependent regulation of nucleus processes	NA	NA	NA
Cold shock, CspA family of proteins	NA	NA	NA
Heat shock dnaK gene cluster extended	0.498011587088299	1	
Uptake of selenate and selenite	NA	NA	NA
SigmaB stress responce regulation	NA	NA	NA
Hfl operon	NA	NA	NA
Carbon Starvation	NA	NA	NA
Periplasmic Stress Response	NA	NA	NA
Quinate degradation	NA	NA	NA
Salicylate and gentisate catabolism	NA	NA	NA
Gentisate degradation	NA	NA	NA
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	0.839522930788004	1	
Glutamate dehydrogenases	NA	NA	NA
Glutamine synthetases	1	1	
Glutamate and Aspartate uptake in Bacteria	NA	NA	NA
Histidine Degradation	NA	NA	NA
Histidine Biosynthesis	NA	NA	NA
Arginine Deiminase Pathway	NA	NA	NA
Polyamine Metabolism	NA	NA	NA
Arginine and Ornithine Degradation	NA	NA	NA
Arginine Biosynthesis extended	NA	NA	NA
Arginine Biosynthesis -- gjo	NA	NA	NA
Methionine Biosynthesis	0.504086172162467	1	
Threonine degradation	NA	NA	NA
Lysine Biosynthesis DAP Pathway, GJO scratch	0.830514863690061	1	
Methionine Degradation	NA	NA	NA
Threonine and Homoserine Biosynthesis	1	1	
Cysteine Biosynthesis	NA	NA	NA
Lysine Biosynthesis DAP Pathway	0.830514863690061	1	
Lysine degradation	NA	NA	NA
Creatine and Creatinine Degradation	NA	NA	NA
Branched-Chain Amino Acid Biosynthesis	NA	NA	NA
Leucine Biosynthesis	NA	NA	NA
Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)	NA	NA	NA
Aromatic amino acid interconversions with aryl acids	NA	NA	NA
Indole-pyruvate oxidoreductase complex	NA	NA	NA
Chorismate Synthesis	NA	NA	NA
Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	0.00136172269215354	0.147066050752582	
Phenylalanine and Tyrosine Branches from Chorismate	0.170503281452585	1	
Tryptophan synthesis	NA	NA	NA
Proline Synthesis	0.537881143675782	1	
A Hypothetical Protein Related to Proline Metabolism	1	1	
Glycine Biosynthesis	NA	NA	NA
Alanine biosynthesis	0.881716986228913	1	
Serine Biosynthesis	0.371497688335407	1	
Glycine and Serine Utilization	NA	NA	NA
Thioredoxin-disulfide reductase	0.412383373943607	1	
Galactosylceramide and Sulfatide metabolism	NA	NA	NA
High affinity phosphate transporter and control of PHO regulon	0.631658589762685	1	
Phosphate metabolism	NA	NA	NA
Polyphosphate	NA	NA	NA
Phosphonate metabolism	NA	NA	NA
Methylglyoxal Metabolism	NA	NA	NA
Pyruvate:ferredoxin oxidoreductase	NA	NA	NA
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	0.0540736257091794	1	
Pyruvate Alanine Serine Interconversions	0.771401067482267	1	
Glycolysis and Gluconeogenesis	NA	NA	NA
Entner-Doudoroff Pathway	NA	NA	NA
Pentose phosphate pathway	NA	NA	NA
Pyruvate metabolism I: anaplerotic reactions, PEP	0.813254538029384	1	
Glycolate, glyoxylate interconversions	NA	NA	NA
Chitin and N-acetylglucosamine utilization	NA	NA	NA
N-Acetyl-Galactosamine and Galactosamine Utilization	NA	NA	NA
Trehalose Biosynthesis	NA	NA	NA
Sucrose utilization	NA	NA	NA
Fructooligosaccharides(FOS) and Raffinose Utilization	NA	NA	NA
Maltose and Maltodextrin Utilization	NA	NA	NA
Trehalose Uptake and Utilization	NA	NA	NA
Lactose and Galactose Uptake and Utilization	NA	NA	NA
Lactose utilization	NA	NA	NA
One-carbon metabolism by tetrahydropterines	0.67455809721767	1	
Methanogenesis	NA	NA	NA
Glycerate metabolism	NA	NA	NA
Citrate Metabolism, Transport, and Regulation	NA	NA	NA
Fermentations: Mixed acid	NA	NA	NA
Acetolactate synthase subunits	NA	NA	NA
Fermentations: Lactate	NA	NA	NA
Glycerol and Glycerol-3-phosphate Uptake and Utilization	NA	NA	NA
Inositol catabolism	NA	NA	NA
Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway	NA	NA	NA
Glycogen metabolism	NA	NA	NA
Alpha-Amylase locus in Streptocococcus	NA	NA	NA
Mannose Metabolism	NA	NA	NA
Deoxyribose and Deoxynucleoside Catabolism	NA	NA	NA
Fructose utilization	NA	NA	NA
D-galactarate, D-glucarate and D-glycerate catabolism - gjo	NA	NA	NA
D-Galacturonate and D-Glucuronate Utilization	NA	NA	NA
D-ribose utilization	NA	NA	NA
L-fucose utilization temp	NA	NA	NA
Xylose utilization	NA	NA	NA
D-galactarate, D-glucarate and D-glycerate catabolism	NA	NA	NA
L-Arabinose utilization	NA	NA	NA
