cat	pval	fdr	stars
Respiratory dehydrogenases 1	0.823391214902911	1	
NiFe hydrogenase maturation	NA	NA	NA
Carbon monoxide induced hydrogenase	NA	NA	NA
Formate hydrogenase	NA	NA	NA
Soluble cytochromes and functionally related electron carriers	NA	NA	NA
Na+ translocating decarboxylases and related biotin-dependent enzymes	NA	NA	NA
Choline and Betaine Uptake and Betaine Biosynthesis	NA	NA	NA
Oxidative stress	NA	NA	NA
Glutathione: Non-redox reactions	NA	NA	NA
Rubrerythrin	NA	NA	NA
Redox-dependent regulation of nucleus processes	NA	NA	NA
Cold shock, CspA family of proteins	NA	NA	NA
Heat shock dnaK gene cluster extended	0.757375750795863	1	
Uptake of selenate and selenite	NA	NA	NA
SigmaB stress responce regulation	NA	NA	NA
Hfl operon	NA	NA	NA
Carbon Starvation	NA	NA	NA
Periplasmic Stress Response	NA	NA	NA
Quinate degradation	NA	NA	NA
Salicylate and gentisate catabolism	NA	NA	NA
Gentisate degradation	NA	NA	NA
Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	0.263734487744548	1	
Glutamate dehydrogenases	NA	NA	NA
Glutamine synthetases	0.873624380440564	1	
Glutamate and Aspartate uptake in Bacteria	NA	NA	NA
Histidine Degradation	NA	NA	NA
Histidine Biosynthesis	NA	NA	NA
Arginine Deiminase Pathway	NA	NA	NA
Polyamine Metabolism	NA	NA	NA
Arginine and Ornithine Degradation	NA	NA	NA
Arginine Biosynthesis extended	NA	NA	NA
Arginine Biosynthesis -- gjo	NA	NA	NA
Methionine Biosynthesis	0.738984127220292	1	
Threonine degradation	NA	NA	NA
Lysine Biosynthesis DAP Pathway, GJO scratch	0.853198789200964	1	
Methionine Degradation	NA	NA	NA
Threonine and Homoserine Biosynthesis	0.903325182566965	1	
Cysteine Biosynthesis	NA	NA	NA
Lysine Biosynthesis DAP Pathway	0.853198789200964	1	
Lysine degradation	NA	NA	NA
Creatine and Creatinine Degradation	NA	NA	NA
Branched-Chain Amino Acid Biosynthesis	NA	NA	NA
Leucine Biosynthesis	NA	NA	NA
Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)	NA	NA	NA
Aromatic amino acid interconversions with aryl acids	NA	NA	NA
Indole-pyruvate oxidoreductase complex	NA	NA	NA
Chorismate Synthesis	NA	NA	NA
Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	0.00019236461014623	0.0207753778957929	 *
Phenylalanine and Tyrosine Branches from Chorismate	0.231469843745824	1	
Tryptophan synthesis	NA	NA	NA
Proline Synthesis	0.840475210740772	1	
A Hypothetical Protein Related to Proline Metabolism	0.999999999991587	1	
Glycine Biosynthesis	NA	NA	NA
Alanine biosynthesis	0.980106531941768	1	
Serine Biosynthesis	0.378345524823943	1	
Glycine and Serine Utilization	NA	NA	NA
Thioredoxin-disulfide reductase	0.610896345504625	1	
Galactosylceramide and Sulfatide metabolism	NA	NA	NA
High affinity phosphate transporter and control of PHO regulon	0.841180791099357	1	
Phosphate metabolism	NA	NA	NA
Polyphosphate	NA	NA	NA
Phosphonate metabolism	NA	NA	NA
Methylglyoxal Metabolism	NA	NA	NA
Pyruvate:ferredoxin oxidoreductase	NA	NA	NA
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	0.0435734451983722	1	
Pyruvate Alanine Serine Interconversions	0.890630867529245	1	
Glycolysis and Gluconeogenesis	NA	NA	NA
Entner-Doudoroff Pathway	NA	NA	NA
Pentose phosphate pathway	NA	NA	NA
Pyruvate metabolism I: anaplerotic reactions, PEP	0.792074491726555	1	
Glycolate, glyoxylate interconversions	NA	NA	NA
Chitin and N-acetylglucosamine utilization	NA	NA	NA
N-Acetyl-Galactosamine and Galactosamine Utilization	NA	NA	NA
Trehalose Biosynthesis	NA	NA	NA
Sucrose utilization	NA	NA	NA
Fructooligosaccharides(FOS) and Raffinose Utilization	NA	NA	NA
Maltose and Maltodextrin Utilization	NA	NA	NA
Trehalose Uptake and Utilization	NA	NA	NA
Lactose and Galactose Uptake and Utilization	NA	NA	NA
Lactose utilization	NA	NA	NA
One-carbon metabolism by tetrahydropterines	0.821559857759932	1	
Methanogenesis	NA	NA	NA
Glycerate metabolism	NA	NA	NA
Citrate Metabolism, Transport, and Regulation	NA	NA	NA
Fermentations: Mixed acid	NA	NA	NA
Acetolactate synthase subunits	NA	NA	NA
Fermentations: Lactate	NA	NA	NA
Glycerol and Glycerol-3-phosphate Uptake and Utilization	NA	NA	NA
Inositol catabolism	NA	NA	NA
Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway	NA	NA	NA
Glycogen metabolism	NA	NA	NA
Alpha-Amylase locus in Streptocococcus	NA	NA	NA
Mannose Metabolism	NA	NA	NA
Deoxyribose and Deoxynucleoside Catabolism	NA	NA	NA
Fructose utilization	NA	NA	NA
D-galactarate, D-glucarate and D-glycerate catabolism - gjo	NA	NA	NA
D-Galacturonate and D-Glucuronate Utilization	NA	NA	NA
D-ribose utilization	NA	NA	NA
L-fucose utilization temp	NA	NA	NA
Xylose utilization	NA	NA	NA
D-galactarate, D-glucarate and D-glycerate catabolism	NA	NA	NA
L-Arabinose utilization	NA	NA	NA
